"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PNR","Pentair plc.","36.64","6360741739.2","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/pnr",
"PRSP","Perspecta Inc.","17.3","2836927127.1","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/prsp",
"PVTL","Pivotal Software, Inc.","16.53","4337972660.64","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/pvtl",
"PRO","PROS Holdings, Inc.","29.59","1099267050.09","n/a","2007","Technology","EDP Services","https://www.nasdaq.com/symbol/pro",
"PSTG","Pure Storage, Inc. ","15.43","3728146251.91","n/a","2015","Technology","Electronic Components","https://www.nasdaq.com/symbol/pstg",
"QTWO","Q2 Holdings, Inc.","47.31","2052068127.54","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qtwo",
"QTM","Quantum Corporation","1.81","62895480.04","n/a","n/a","Technology","Electronic Components","https://www.nasdaq.com/symbol/qtm",
"RHT","Red Hat, Inc.","173.96","30753168940.4","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/rht",
"SOL","Renesola Ltd.","1.25","47584862.5","n/a","2008","Technology","Semiconductors","https://www.nasdaq.com/symbol/sol",
"RENN","Renren Inc.","1.46","100441955.6","n/a","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/renn",
"RXN","Rexnord Corporation","22.1","2313040432.3","n/a","2012","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rxn",
"RNG","Ringcentral, Inc.","78.42","6299708370.6","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/rng",
"RHI","Robert Half International Inc.","52.9","6426029192.8","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/rhi",
"RST","Rosetta Stone","16.42","375392726.4","n/a","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/rst",
"SAIL","SailPoint Technologies Holdings, Inc.","22.77","1998944418.24","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sail",
"CRM","Salesforce.com Inc","130.4","99756000000","n/a","2004","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/crm",
"SAP","SAP SE","95.46","117272610000","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sap",
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","61.52","2606486680.88","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/saic",
"SMI","Semiconductor  Manufacturing International Corporation","4.03","4062092425.43","n/a","2004","Technology","Semiconductors","https://www.nasdaq.com/symbol/smi",
"SEND","SendGrid, Inc.","39.19","1864423570.78","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/send",
"SQNS","Sequans Communications S.A.","0.83","78507014.12","n/a","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/sqns",
"NOW","ServiceNow, Inc.","169.12","30323216000","n/a","2012","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/now",
"SHOP","Shopify Inc.","129.79","12704030799.7","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/shop",
"SSTK","Shutterstock, Inc.","34.08","1194059017.44","n/a","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/sstk",
"SMAR","Smartsheet Inc.","22.57","2340988341.66","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/smar",
"SNAP","Snap Inc.","5.68","7355140010.88","n/a","2017","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/snap",
"SOGO","Sogou Inc.","5.19","2061293159.28","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/sogo",
"SWI","SolarWinds Corporation","13.08","4054062575.76","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/swi",
"SPA","Sparton Corporation","18.2","178991958.6","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/spa",
"SPXC","SPX Corporation","26.25","1139041653.75","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/spxc",
"FLOW","SPX FLOW, Inc.","29.79","1267623156.51","n/a","2015","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/flow",
"SQ","Square, Inc.","52.42","21675544401.68","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sq",
"SXI","Standex International Corporation","66.62","854657387.42","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/sxi",
"SRT","StarTek, Inc.","6.66","249274848.96","n/a","1997","Technology","Professional Services","https://www.nasdaq.com/symbol/srt",
"STM","STMicroelectronics N.V.","12.07","10841771718.52","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/stm",
"SWCH","Switch, Inc.","6.82","1682111172.94","n/a","2017","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/swch",
"SNX","Synnex Corporation","78.2","4000791920.4","n/a","2003","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/snx",
"DATA","Tableau Software, Inc.","115.72","9670468593.28","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/data",
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.","34.36","178193571360","n/a","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/tsm",
"TLRA","Telaria, Inc.","2.81","119480798.17","n/a","2013","Technology","Advertising","https://www.nasdaq.com/symbol/tlra",
"TNC","Tennant Company","51.19","927818750","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/tnc",
"TDC","Teradata Corporation","36.99","4372218000","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/tdc",
"TGH","Textainer Group Holdings Limited","10.98","627501433.14","n/a","2007","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/tgh",
"RUBI","The Rubicon Project, Inc.","3.62","183721389.3","n/a","2014","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/rubi",
"TRTN","Triton International Limited","31.89","2547203066.85","n/a","2016","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/trtn",
"TBI","TrueBlue, Inc.","21.72","879339868.92","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/tbi",
"TWLO","Twilio Inc.","81.25","8126329493.75","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twlo",
"TWTR","Twitter, Inc.","27.99","21307395029.31","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/twtr",
"TYL","Tyler Technologies, Inc.","176.63","6857351883.91","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/tyl",
"UIS","Unisys Corporation","11.25","574026772.5","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/uis",
"UMC","United Microelectronics Corporation","1.73","4136194275.39","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/umc",
"URI","United Rentals, Inc.","101.98","8270845391.56","n/a","1997","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/uri",
"VEEV","Veeva Systems Inc.","84.89","12334645183.9","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/veev",
"VMW","Vmware, Inc.","130.67","53560467423.6","n/a","2007","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/vmw",
"WBT","Welbilt, Inc.","10.99","1541004601.01","n/a","2016","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/wbt",
"WIT","Wipro Limited","5.05","22739724663.75","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/wit",
"WK","Workiva Inc.","35.22","1544369105.76","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/wk",
"WPP","WPP plc","53.52","13506532626.24","n/a","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/wpp",
"XRX","Xerox Corporation","19.69","4691786500.83","n/a","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/xrx",
"YEXT","Yext, Inc.","14.34","1446397589.64","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/yext",
"ZEN","Zendesk, Inc.","55.54","5945087909.16","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/zen",
"ZUO","Zuora, Inc.","17.68","1918325968","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zuo",
